NEIGHBORHOOD,ADDRESS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
GREENWICH VILLAGE-WEST,621 GREENWICH STREET,1741.0,3866.0,2017.0,17000000.0,2022-04-12
GREENWICH VILLAGE-WEST,119 LEROY STREET,2098.0,3239.0,2017.0,8250000.0,2022-11-30
GREENWICH VILLAGE-WEST,117 LEROY STREET,2507.0,3454.0,2017.0,13500000.0,2022-07-25
SOUTHBRIDGE,136 BEEKMAN STREET,477.0,1900.0,1998.0,3500000.0,2022-02-03
CASTLE HILL/UNIONPORT,2030 STORY AVENUE,3604.0,1860.0,1987.0,642000.0,2022-10-21
CITY ISLAND,652 CITY ISLAND AVENUE,2693.0,1379.0,2004.0,400000.0,2022-09-27
CITY ISLAND,656 CITY ISLAND AVENUE,2150.0,2069.0,2005.0,425000.0,2022-02-02
CITY ISLAND,658 CITY ISLAND AVENUE,3713.0,2069.0,2005.0,450000.0,2022-05-16
CITY ISLAND,647 MINNIEFORD AVENUE,3219.0,2250.0,1999.0,630000.0,2022-07-27
CITY ISLAND,158 FORDHAM STREET,2500.0,1496.0,2020.0,745000.0,2022-02-08
CITY ISLAND,383 KING AVENUE,2703.0,1360.0,1986.0,635000.0,2022-06-30
CITY ISLAND,740 KING AVENUE,3500.0,1650.0,1986.0,775000.0,2022-12-21
COUNTRY CLUB,3391-06 COUNTRY CLUB ROAD,2086.0,2500.0,1987.0,780000.0,2022-12-19
COUNTRY CLUB,1558 DWIGHT PLACE,2499.0,1768.0,2005.0,810000.0,2022-10-31
COUNTRY CLUB,820 DEAN AVENUE,4927.0,2000.0,2004.0,975000.0,2022-10-06
CROTONA PARK,820 SUBURBAN PL,6847.0,2500.0,1988.0,769000.0,2022-01-26
CROTONA PARK,1560 CHARLOTTE STREET,7000.0,2700.0,1985.0,610000.0,2022-01-20
CROTONA PARK,870 EAST 172ND STREET,7000.0,2700.0,1985.0,499550.0,2022-03-25
EAST TREMONT,10 WADE SQUARE,1873.0,1320.0,1985.0,542000.0,2022-04-28
EAST TREMONT,2175 ARTHUR AVENUE,1893.0,1320.0,1985.0,570000.0,2022-05-20
EAST TREMONT,615 OAK TREE PLACE,2100.0,1364.0,1985.0,560000.0,2022-04-06
EAST TREMONT,2130 CLINTON AVENUE,3000.0,1320.0,1985.0,505000.0,2022-11-09
EAST TREMONT,2153 CLINTON AVENUE,2152.0,1320.0,1985.0,525000.0,2022-10-26
EAST TREMONT,2153 CLINTON AVENUE,2153.0,1320.0,1985.0,460000.0,2022-02-04
EAST TREMONT,2143 CLINTON AVENUE,2359.0,1320.0,1985.0,265000.0,2022-06-22
EAST TREMONT,2159 MAPES AVENUE,4202.0,1600.0,1985.0,625000.0,2022-01-19
EAST TREMONT,2151 MAPES AVENUE,2905.0,1320.0,1985.0,585000.0,2022-04-25
FIELDSTON,272 FIELDSTON TERRACE,2033.0,2433.0,2008.0,1150000.0,2022-04-07
MORRISANIA/LONGWOOD,690 CAULDWELL AVENUE,1939.0,1152.0,1992.0,475000.0,2022-12-23
MORRISANIA/LONGWOOD,763 TRINITY AVENUE,1837.0,1152.0,1992.0,505000.0,2022-07-11
MORRISANIA/LONGWOOD,795 JACKSON AVENUE,2332.0,1152.0,1991.0,550000.0,2022-03-31
MORRISANIA/LONGWOOD,774 HOME STREET,2378.0,1330.0,1987.0,565000.0,2022-04-11
MORRISANIA/LONGWOOD,1123 TINTON,2542.0,1320.0,1987.0,500000.0,2022-10-20
MORRISANIA/LONGWOOD,1117 TINTON AVENUE,2542.0,1320.0,1987.0,360000.0,2022-07-21
MORRISANIA/LONGWOOD,1117 TINTON AVENUE,2542.0,1320.0,1987.0,579000.0,2022-12-30
MORRISANIA/LONGWOOD,1117 TINTON AVENUE,2543.0,1320.0,1987.0,110200.0,2022-05-04
MORRISANIA/LONGWOOD,848 UNION AVENUE,1940.0,1152.0,1993.0,565000.0,2022-06-24
MORRISANIA/LONGWOOD,903 TIFFANY STREET,2024.0,1980.0,1987.0,575000.0,2022-01-12
MORRISANIA/LONGWOOD,1091 SIMPSON STREET,2000.0,1266.0,1992.0,510000.0,2022-02-28
MORRISANIA/LONGWOOD,1083 SIMPSON STREET,2000.0,1266.0,1992.0,500000.0,2022-03-31
MORRISANIA/LONGWOOD,1069 SIMPSON STREET,2000.0,1266.0,1992.0,514500.0,2022-02-16
MORRISANIA/LONGWOOD,1112 SIMPSON STREET,2000.0,1266.0,1992.0,450000.0,2022-10-07
MORRISANIA/LONGWOOD,855 JENNINGS STREET,10331.0,2980.0,1986.0,670000.0,2022-08-31
MORRISANIA/LONGWOOD,1369 INTERVALE AVENUE,1980.0,1152.0,1988.0,460000.0,2022-04-08
MORRISANIA/LONGWOOD,1367 INTERVALE AVENUE,1980.0,1152.0,1988.0,450000.0,2022-11-17
MORRISANIA/LONGWOOD,1351 INTERVALE AVENUE,2178.0,1152.0,1989.0,499000.0,2022-02-25
MORRISANIA/LONGWOOD,1347 INTERVALE,2040.0,1152.0,1989.0,256510.0,2022-06-28
MORRISANIA/LONGWOOD,1172 FOX STREET,1826.0,1188.0,1991.0,475000.0,2022-06-22
MOTT HAVEN/PORT MORRIS,603 E 140TH ST,1757.0,1683.0,2000.0,615000.0,2022-08-02
MOTT HAVEN/PORT MORRIS,609 OAK TERRACE,1386.0,1104.0,2000.0,565000.0,2022-09-26
MOTT HAVEN/PORT MORRIS,609 OAK TERRACE,1387.0,1104.0,2000.0,400000.0,2022-03-10
PELHAM PARKWAY NORTH,2303 TENBROECK AVENUE,2805.0,1260.0,1989.0,695000.0,2022-09-22
RIVERDALE,2750 FAIRFIELD AVENUE,8020.0,3294.0,2021.0,2275000.0,2022-05-06
RIVERDALE,3024 ARLINGTON AVENUE,4999.0,2732.0,1985.0,1287500.0,2022-10-31
RIVERDALE,5404 POST ROAD,2699.0,1606.0,2003.0,960000.0,2022-07-14
RIVERDALE,5406 POST ROAD,2699.0,1606.0,2003.0,939500.0,2022-07-06
RIVERDALE,7 DELAFIELD WAY,3403.0,2400.0,1987.0,1350000.0,2022-05-06
RIVERDALE,5250 INDEPENDENCE AVENUE,19777.0,3516.0,1992.0,3625000.0,2022-09-15
RIVERDALE,5605 INDEPENDENCE AVENUE,23629.0,1500.0,1990.0,2268000.0,2022-10-24
SCHUYLERVILLE/PELHAM BAY,2749 GIFFORD AVE,1900.0,2400.0,2006.0,730000.0,2022-06-29
THROGS NECK,208 LONGSTREET AVENUE,1700.0,2210.0,1998.0,880000.0,2022-04-28
BAY RIDGE,"7529 SHORE ROAD, 1E",6975.0,4422.0,2006.0,363000.0,2022-02-10
BEDFORD STUYVESANT,27 TROY AVENUE,2244.0,1452.0,1985.0,947500.0,2022-03-16
BEDFORD STUYVESANT,30 HATTIE JONES COURT,2172.0,1452.0,1985.0,920000.0,2022-06-28
BEDFORD STUYVESANT,688 WILLOUGHBY AVENUE,1616.0,1632.0,2002.0,1450000.0,2022-11-21
BEDFORD STUYVESANT,237A HART STREET,1400.0,1428.0,2000.0,750000.0,2022-02-22
BERGEN BEACH,10 BERGEN BEACH PLACE,2882.0,1738.0,1996.0,832500.0,2022-05-17
BERGEN BEACH,35 BERGEN BEACH PLACE,2633.0,1600.0,2002.0,782500.0,2022-04-01
BERGEN BEACH,6652 AVENUE M,1989.0,1600.0,1999.0,550000.0,2022-08-22
